nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Gereja Katolik Bunda Maria Ratu Paroki Sukatani,Gereja Katolik,"JV6Q+PJ6, Jl. Gas Alam, Sukatani, Kec. Tapos, Kota Depok, Jawa Barat 16454",Buka 24 jam,"4,8",225,,Ada,Tersedia,-6.3882213,106.8890145,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GBI EBEN HAEZER SIMPANGAN DEPOK,Gereja Kristen,"Sukamaju, Kec. Cilodong, Kota Depok, Jawa Barat 16415",Tutup,"5,0",9,,Ada,Tersedia,-6.4105022,106.8610079,Aksesibilitas Tersedia,['Memiliki tempat parkir khusus pengguna kursi roda']
"Gereja Katolik Paroki Santo Markus, Depok Timur",Gereja Katolik,"Jalan Kerinci Raya No.11 RT.08 10, Jl. Kerinci Raya No.5, Abadijaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16417",,"4,8",185,,Ada,Tersedia,-6.3948945,106.8536982,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GBI KAMBOJA (RAYON 9) DEPOK,Gereja Kristen,"Jl. Kamboja No.18, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Tutup,"4,7",269,,Tidak Ada ,Tersedia,-6.3980853,106.8246435,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Kristen Pasundan Jemaat Depok,Gereja,"Gereja Kristen Pasundan, Jl. St. Depok Lama No.7, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"4,7",49,,Ada,Tersedia,-6.4056782,106.8180395,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Abbalove Depok,Gereja,"Jl. Kenanga No.3A, RT.03/RW.08, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Tutup,"4,6",133,,Ada,Tersedia,-6.4010145,106.8223534,Aksesibilitas Tersedia,"['Memiliki kursi khusus pengguna kursi roda', 'Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar']"
GEDUNG BARU GBI ALFA OMEGA CIMANGGIS,Gereja,"Jl. Raya Jakarta-Bogor No.37, Sukamaju Baru, Kec. Tapos, Kota Depok, Jawa Barat 16455",08.00 hingga 16.00,"5,0",11,,Tidak Ada ,Tersedia,-6.4024148,106.8620902,Aksesibilitas Tersedia,[]
GBI PEKAPURAN,Gereja Protestan,"Jl. Pekapuran No.3B, Curug, Kec. Cimanggis, Kota Depok, Jawa Barat 16459",Tutup,"4,7",75,,Ada,Tersedia,-6.3863916,106.8710402,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GMI Getsemani Depok,Gereja,"Jl. Sadewa Raya No.2, Mekar Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16411",,"4,9",16,"
(021) 7716933",Ada,Tersedia,-6.3905298,106.8418095,Aksesibilitas Tersedia,[]
Gereja Sungai Yordan,Gereja,"Jl. Mawar No.4, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Tutup,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.402018,106.8241827,Aksesibilitas Tersedia,[]
GPdI Melati Depok Lama,Gereja Kristen,"Jl. Melati No.8, RT.4/RW.10, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Tutup,"4,9",12,,Ada,Tersedia,-6.4006009,106.8212342,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki Santo Herkulanus, Depok Jaya",Gereja Katolik,"Jl. Irian Jaya No.1, Depok Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16432",,"4,8",291,,Ada,Tersedia,-6.3936403,106.8080655,Aksesibilitas Tersedia,"['Memiliki kursi khusus pengguna kursi roda', 'Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar']"
Gereja Gemindo Antiokhia,Gereja Kristen,"Jl. Merdeka Barat No.1, Mekar Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16411",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.3969269,106.8340155,Aksesibilitas Tersedia,[]
Gereja BNKP Depok,Gereja Lutheran,"Gg. Gereja Bnkp Nias, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",09.00 hingga 22.00,"4,8",87,,Ada,Tersedia,-6.3993614,106.829039,Aksesibilitas Tersedia,[]
GBI Siliwangi Depok,Gereja,"Jl. Siliwangi No.3b, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Tutup,"4,8",33,,Ada,Tersedia,-6.3996861,106.8219107,Aksesibilitas Tersedia,[]
Gereja Masehi Advent Hari Ketujuh - Getsemanie Depok Jaya,Gereja Advent Hari Ketujuh,"Jl. Kartini No.44b, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.4017748,106.8190287,Aksesibilitas Tersedia,[]
Gereja GPIB Pelita Hidup Depok,Gereja Protestan,"Jl. Merdeka Barat No.1, Mekar Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16411",,"5,0",27,"
(021) 7716296",Ada,Tersedia,-6.3969532,106.8344125,Aksesibilitas Tersedia,[]
Gerika Filipi Depok,Gereja,"Jl. Cempedak I No.13, Sukamaju Baru, Kec. Tapos, Kota Depok, Jawa Barat 16455",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.4064733,106.8698175,Aksesibilitas Tersedia,[]
Gereja Orthodox Indonesia Js Basilius Agung Depok,Gereja,"HRXH+XQ5 Kontrakan Nias, Jl. Flamboyan Gang Nias, RT.03/RW.007, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Buka 24 jam,"5,0",16,,Ada,Tersedia,-6.4001223,106.8294741,Aksesibilitas Tersedia,[]
GSJA ANUGERAH DEPOK,Gereja,"Jl. Puring No.21, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Buka 24 jam,"4,8",6,,Ada,Tersedia,-6.3968301,106.8264699,Aksesibilitas Tersedia,[]
GSPDI Depok,Gereja,"Jl. Tole Iskandar No.8, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"5,0",8,,Tidak Ada ,Tersedia,-6.4017365,106.8324035,Aksesibilitas Tersedia,[]
Gkrhi Jemaat Elshaddai,Gereja,"Jl. Mawar No.18, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"4,4",14,,Tidak Ada ,Tidak Tersedia,-6.4011973,106.824433,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki Santo Paulus, Depok",Gereja Katolik,"Jl. Melati No.4, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Buka 24 jam,"4,8",752,,Ada,Tersedia,-6.4010938,106.8212418,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GBI Margonda Depok,Gereja,"Ruko D'mall Blok A 6-7, Jl. Margonda No.88, Kemiri Muka, Beji, Depok City, West Java Depok16423",09.00 hingga 16.00,"4,7",17,,Ada,Tersedia,-6.3873167,106.8267454,Aksesibilitas Tersedia,[]
GKBJ Depok,Gereja,"Jl. Flamboyan No.26, RT.03/RW.07, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",08.00 hingga 22.00,"5,0",6,,Ada,Tersedia,-6.399903,106.8308231,Aksesibilitas Tersedia,[]
Gereja HKBP Depok Timur,Gereja Lutheran,"Jl. Kerinci Raya No.9, Abadijaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16417",,"4,7",180,"
(021) 7719164",Ada,Tersedia,-6.395274,106.8533167,Aksesibilitas Tersedia,[]
GPIB Pancoran Rahmat Depok,Gereja,"GPIB Pancoran Rahmat, Jl. Daya Guna I No.55, RT.007/RW.012, Mampang, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16433",Tutup,"5,0",15,,Ada,Tersedia,-6.3874893,106.7939857,Aksesibilitas Tersedia,[]
