nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Al Imron Cijati,Masjid,"Cijati, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45417",Buka 24 jam,"4,7",18,,Tidak Ada ,Tidak Tersedia,-6.8277544,108.2054123,Aksesibilitas Tersedia,[]
Masjid Jami Al - Ikhlas,Masjid,"3843+FQM, Blok Garatengah, Cihaur, Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461",Buka 24 jam,"4,8",34,,Tidak Ada ,Tidak Tersedia,-6.9437896,108.3044253,Aksesibilitas Tersedia,[]
Masjid Hajar Abyadl,Masjid,"69CX+MRM, Lengkongwetan, Kec. Sindangwangi, Kabupaten Majalengka, Jawa Barat 45474",Buka 24 jam,"4,6",32,"
0857-7558-2928",Ada,Tidak Tersedia,-6.7782999,108.3995348,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al Hidayah,Masjid,"77HW+FXW, Jl. Raya Cirebon - Bandung Desa, Palasah, Kec. Palasah, Kabupaten Majalengka, Jawa Barat 45475",,"4,7",132,,Tidak Ada ,Tidak Tersedia,-6.7212534,108.2974468,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami' An-Nur,Tempat Ibadah,"79P2+6PP, Jl. Gelok Mulya Jl. Gelok, Banjaran, Kec. Sumberjaya, Kabupaten Majalengka, Jawa Barat 45468",Buka 24 jam,"4,6",11,"
0813-2073-5903",Ada,Tidak Tersedia,-6.7144211,108.3518182,Aksesibilitas Tersedia,[]
Masjid Nuuroh Kholifah,Masjid,"567Q+66H, Majalengka Wetan, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45411",Buka 24 jam,"4,9",62,"
0852-9518-1024",Ada,Tidak Tersedia,-6.8369461,108.2381178,Aksesibilitas Tersedia,[]
Masjid Jami' AL-FALAH Desa Tanjungsari,Masjid,"682C+7RG, Tanjungsari, Kec. Sukahaji, Kabupaten Majalengka, Jawa Barat 45471",Buka 24 jam,"4,6",8,,Tidak Ada ,Tidak Tersedia,-6.7993238,108.322067,Aksesibilitas Tersedia,[]
Masjid Jami Al Hikmah,Masjid,"X742+CJG, Malausma, Kec. Malausma, Kabupaten Majalengka, Jawa Barat 45464",Buka 24 jam,"4,6",10,,Tidak Ada ,Tidak Tersedia,-7.0439358,108.2515828,Aksesibilitas Tersedia,[]
Masjid Jamie Darussalam,Masjid,"Jl. Kh. Abdul Halim No.1000, Karyamukti, Kec. Panyingkiran, Kabupaten Majalengka, Jawa Barat 45459",,"4,6",81,,Tidak Ada ,Tidak Tersedia,-6.8036277,108.1853062,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Sukamulya,Masjid,"48C3+6PF, Paniis, Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461",Buka 24 jam,"4,4",59,,Tidak Ada ,Tidak Tersedia,-6.8794274,108.3042892,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Wates Banjaran,Masjid,"3834+9V2, Wates, Kec. Banjaran, Kabupaten Majalengka, Jawa Barat 45461",Buka 24 jam,"4,5",32,,Tidak Ada ,Tidak Tersedia,-6.9466005,108.3071286,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Badar Wadowetan,Masjid,"26HX+HVM, Wadowetan, Kec. Bantarujeg, Kabupaten Majalengka, Jawa Barat 45464",,"4,8",17,,Tidak Ada ,Tidak Tersedia,-6.9710322,108.249661,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Nur Hidayah,Masjid,"77C8+8VJ, Ciborelang, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",,"4,8",22,,Tidak Ada ,Tidak Tersedia,-6.7291655,108.2671457,Aksesibilitas Tersedia,[]
Masjid Besar Al-Hurriyah,Masjid,"Jl. Raya Cirebon - Bandung No.40, Sutawangi, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",,"4,6",43,,Tidak Ada ,Tidak Tersedia,-6.7332072,108.2615294,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Agung Al-Imam Majalengka,Masjid,"567G+RP6, Majalengka Kulon, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45418",,"4,8",211,"
0881-0234-47394",Ada,Tidak Tersedia,-6.8354542,108.2267673,Aksesibilitas Tersedia,[]
Masjid Al-Ikhwan,Masjid,"Jl. Nasional 5 No.16, Burujul Wetan, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",,"4,7",66,,Tidak Ada ,Tidak Tersedia,-6.7414541,108.2523635,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Baiturrahman (Haurduni),Masjid,"4892+PMC, Maja Utara, Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461",,"4,6",44,,Tidak Ada ,Tidak Tersedia,-6.8806808,108.3016364,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Falah Sindanghurip,Masjid,"X6HF+V89, Sukadana, Kec. Malausma, Kabupaten Majalengka, Jawa Barat 45464",,"4,5",17,,Tidak Ada ,Tidak Tersedia,-7.0203434,108.2233636,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
MASJID BESAR SYIFAAUL QULUUB MAJA,Masjid,"Maja Sel., Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461",,"4,7",191,,Tidak Ada ,Tersedia,-6.8886512,108.30357,Aksesibilitas Tersedia,[]
Masjid Jami Nurul Amaliyyah,Masjid,"68FR+CG2, Rajagaluhlor, Rajagaluh, Rajagaluh Lor, Majalengka, Kabupaten Majalengka, Jawa Barat 45472",Buka 24 jam,"4,8",29,,Tidak Ada ,Tidak Tersedia,-6.7764867,108.3412763,Aksesibilitas Tersedia,[]
Masjid Farid Ar Rohman,Masjid,"75PF+P96, Pakubeureum, Kec. Kertajati, Kabupaten Majalengka, Jawa Barat 45457",Buka 24 jam,"4,7",309,,Tidak Ada ,Tidak Tersedia,-6.7132013,108.1733805,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
MASJID RAUDHATUL JANNAH,Masjid,"283F+JXP, Jl. Majalengka - Cikijing, Jatipamor, Kec. Talaga, Kabupaten Majalengka, Jawa Barat 45463",Buka 24 jam,"4,8",25,,Tidak Ada ,Tidak Tersedia,-6.9959228,108.3249444,Aksesibilitas Tersedia,[]
Masjid Jami Al-falah,Masjid,"583M+PWF, Garawastu, Kec. Sindang, Kabupaten Majalengka, Jawa Barat 45471",,"4,5",11,,Tidak Ada ,Tidak Tersedia,-6.8456842,108.3348119,Aksesibilitas Tersedia,[]
MASJID NURUL ILMI,Masjid,"Jl. Kebon Kawung, Sindangkasih, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45411",,"4,9",86,"
0852-2122-8704",Ada,Tersedia,-6.8472565,108.2553737,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Darussalam,Masjid,"Karangsambung, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat",04.00 hingga 20.00,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.7484208,108.1666043,Aksesibilitas Tersedia,[]
Masjid Jaami' Baitul Muttaqien,Masjid,"Banjaran, Kec. Sumberjaya, Kabupaten Majalengka, Jawa Barat 45468",Buka 24 jam,"4,8",58,,Tidak Ada ,Tidak Tersedia,-6.7058012,108.3485634,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
GPI Majalengka,Gereja,"Majalengka Wetan, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45411",Tutup,"4,9",16,"
0823-2066-8826",Ada,Tersedia,-6.836022,108.2300335,Aksesibilitas Tersedia,[]
GPdI Kadipaten,Gereja,"Jl. Raya Cirebon - Bandung No.19, Kadipaten, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat 45452",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.7662454,108.1663362,Aksesibilitas Tersedia,[]
GKP Cideres,Gereja,"65QW+86G, Cipaku, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat 45452",,"4,6",19,"
(0233) 661750",Ada,Tidak Tersedia,-6.7616923,108.1955665,Aksesibilitas Tersedia,[]
GBT Anugerah Kristus,Gereja,"Jl Raya No.25, RT.05/RW.09, Kadipaten, Majalengka Regency, West Java 45452",Tutup,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.7655319,108.1683729,Aksesibilitas Tersedia,[]
GPdI Sola Gratia Jatiwangi,Gereja Pantekosta,"7785+4F3, A Jl. Ahmad Yani, Ciborelang, Jatiwangi, Majalengka Regency, West Java 45454",,"4,7",7,,Tidak Ada ,Tidak Tersedia,-6.7347439,108.2586823,Aksesibilitas Tersedia,[]
GPI ALPHA OMEGA JATIWANGI,Gereja,"Jl. Tanjung Kerta No.201, Mekarsari, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",06.45 hingga 19.00,"4,8",8,,Tidak Ada ,Tidak Tersedia,-6.7325133,108.2557744,Aksesibilitas Tersedia,[]
GKPB MDC Kadipaten,Gereja,"Jl. Ampera No.21, Kadipaten, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat 45452",,"5,0",0233,"
(0233) 8668996",Ada,Tidak Tersedia,-6.766186,108.171361,Aksesibilitas Tersedia,[]
Sekolah Tinggi Alkitab Penyebaran Injil Majalengka,Institusi Pendidikan,"Lingkungan pasir asih No. 802-821Majalengka Wetan, Majalengka Wetan, Kec. Majalengka, Kabupaten Majalengka, Jawa Barat 45411",Buka 24 jam,"4,8",27,,Tidak Ada ,Tersedia,-6.8305957,108.2303308,Aksesibilitas Tersedia,[]
Jual tanaman,Paroki,"Cisetu, Kec. Rajagaluh, Kabupaten Majalengka, Jawa Barat 45472",16.00 hingga 22.00,"4,5",2,"
0812-2135-7231",Ada,Tidak Tersedia,-6.7890435,108.332593,Aksesibilitas Tersedia,[]
GEREJA KRISTEN INDONESIA,Lembaga Agama,"Jl. Lanud Sukani No.79, Rt 2, Mekarsari, Kec. Jatiwangi, Kabupaten Majalengka, Jawa Barat 45454",,"5,0",6,,Tidak Ada ,Tidak Tersedia,-6.7320905,108.256228,Aksesibilitas Tersedia,[]
"Gereja Katolik Kristus Bangkit, Kadipaten",Gereja Katolik,"65M9+CXM, Jl. Ampera, Kadipaten, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat 45452",08.00 hingga 21.00,"4,8",33,"
(0233) 8666361",Ada,Tersedia,-6.7664046,108.1699145,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Rudi's Home,Gereja,"476R+8WV, Malongpong, Kec. Maja, Kabupaten Majalengka, Jawa Barat 45461",,,,,Tidak Ada ,Tidak Tersedia,-6.8891306,108.2922826,Aksesibilitas Tersedia,[]
Protestan,Gereja,"65Q9+6FV, Kadipaten, Kec. Kadipaten, Kabupaten Majalengka, Jawa Barat",,,,,Tidak Ada ,Tidak Tersedia,-6.7619285,108.168642,Aksesibilitas Tersedia,[]
