nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
GPIB Jemaat Galilea Bekasi,Gereja Protestan,"PXJF+C8V, RT.003/RW.017, Jaka Setia, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17148",Tutup,"4,7",69,"
(021) 82410100",Ada,Tersedia,-6.2688839,106.9732835,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
GKI Jatiasih Bekasi,Gereja,"Jalan Swatantra III, No. 38, Jatirasa, Jatiasih, RT.003/RW.004, Jatirasa, Kec. Jatiasih, Kota Bks, Jawa Barat 17423",,"4,6",117,"
(021) 8214375",Ada,Tidak Tersedia,-6.2907294,106.967886,Aksesibilitas Tersedia,[]
GKI Camar,Gereja Kristen,"Jl. Camar No.23 blok A, RT.002/RW.009, Jakamulya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17146",Tutup,"4,8",27,"
(021) 8207594",Ada,Tersedia,-6.257414,106.9622764,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GKI Agus Salim,Gereja Kristen,"Jl. KH. Agus Salim No.205, RT.001/RW.008, Bekasi Jaya, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17112",Tutup,"4,8",84,"
(021) 8803493",Ada,Tersedia,-6.2271517,107.014447,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKPI Bekasi,Gereja Lutheran,"Gkpi Bekasi, Jl. Gn. Gede - Kayuringin No.3, RT.005/RW.013, Kayuringin Jaya, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17144",,"4,8",89,"
(021) 88952724",Ada,Tersedia,-6.2431978,106.9904735,Aksesibilitas Tersedia,[]
Gereja Kristen Pasundan Jemaat Bekasi,Gereja,"Jl. Insinyur H. Juanda No.166B, RT.001/RW.009, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17114",,"4,7",68,"
(021) 8814961",Ada,Tersedia,-6.2494918,107.0141986,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
"Gereja Katolik Paroki Santo Arnoldus Janssen, Bekasi",Gereja Katolik,"Jl. Insinyur H. Juanda No.164, RT.002/RW.009, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17113",08.00 hingga 20.00,"4,8",1.259,"
(021) 8801763",Ada,Tersedia,-6.2494495,107.0114195,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GPIB GLORIA Bekasi,Gereja,"Jl. Kenanga IV Perumahan Jaka Permai No.38 Kav 37, RT.006/RW.006A, Jakasampurna, Bekasi Barat, Bekasi, West Java 17145",,"4,8",161,"
(021) 8841983",Ada,Tersedia,-6.2466845,106.975546,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKJ Bekasi,Gereja,"Jl. Jatiluhur Raya RT.001/RW.013. Kompl. Pengairan, Bekasi, Jawa Barat, 17145",Tutup,"4,7",250,"
(021) 8840760",Ada,Tersedia,-6.2475898,106.9678082,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GKDI BEKASI,Gereja Kristen,"GKDI ROOM, Mega Office Park, Jl. Harapan Indah Boulevard No.1 Blok OP 3, Medan Satria, Kecamatan Medan Satria, Kota Bks, Jawa Barat 17132",Buka 24 jam,"4,9",147,"
0812-8685-8422",Ada,Tersedia,-6.1788013,106.9746238,Aksesibilitas Tersedia,"['Memiliki kursi khusus pengguna kursi roda', 'Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
