nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Al Ala,Masjid,"73MC+2RW, Kawungluwuk, Kec. Sukaresmi, Kabupaten Cianjur, Jawa Barat 43254",Buka 24 jam,"4,8",11,"
0812-8755-0442",Ada,Tidak Tersedia,-6.7173912,107.0720935,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid jami Al-Kubro Bunikasih,Masjid,"Bunikasih, Kec. Warungkondang, Kabupaten Cianjur, Jawa Barat 43261",,"4,7",40,,Tidak Ada ,Tidak Tersedia,-6.8504649,107.0679326,Aksesibilitas Tersedia,[]
Masjid Jami Al-Ihya,Masjid,"Jl. Sindanglaya Raya No.11, Sindangjaya, Cianjur, Kabupaten Cianjur, Jawa Barat 43253",04.00 hingga 21.15,"4,8",105,"
0898-4036-084",Ada,Tidak Tersedia,-6.7236514,107.0357421,Aksesibilitas Tersedia,[]
Masjid Agung Assu'ada,Masjid,"66J3+M4W, Kademangan, Kec. Mande, Kabupaten Cianjur, Jawa Barat 43292",,"4,7",45,,Tidak Ada ,Tidak Tersedia,-6.7682505,107.2028279,Aksesibilitas Tersedia,[]
Masjid Jami Cicantu,Masjid,"56WQ+VH8, Kp cicantu girang, RT.002/RW.003, Hegarmanah, Kec. Sukaluyu, Kabupaten Cianjur, Jawa Barat 43284",,"4,5",49,,Tidak Ada ,Tidak Tersedia,-6.8028267,107.2389571,Aksesibilitas Tersedia,[]
Masjid Cianjur,Masjid,"Jl. Raya Baru No.119, Sayang, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43213",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.8283533,107.1444147,Aksesibilitas Tersedia,[]
Masjid Terminal Pasirhayam,Masjid,"543J+6H5, Sirnagalih, Kec. Cilaku, Kabupaten Cianjur, Jawa Barat 43285",Buka 24 jam,"4,3",158,,Tidak Ada ,Tidak Tersedia,-6.8469794,107.1314903,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Kubro Kh. Abdullah Bin Nuh,Masjid,"Jl. Ir. H. Juanda No.99, Pamoyanan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211",04.00 hingga 20.00,"4,8",85,,Tidak Ada ,Tidak Tersedia,-6.8148286,107.1313811,Aksesibilitas Tersedia,[]
Masjid Jami Al Khoirot Pasar Muka Cianjur,Masjid,"54QX+955, Jl. Ps. Baru, Muka, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43215",,"4,4",14,,Tidak Ada ,Tidak Tersedia,-6.8116191,107.1479747,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Ghofur (Ahmadiyah),Masjid,"54PJ+9Q6, Bojongherang, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43216",Buka 24 jam,"4,6",20,,Tidak Ada ,Tidak Tersedia,-6.814082,107.1318916,Aksesibilitas Tersedia,[]
Masjid Jami Al Falah,Masjid,"7747+G79, Bobojong, Kec. Mande, Kabupaten Cianjur, Jawa Barat 43292",,"4,6",35,"
0856-5958-0059",Ada,Tidak Tersedia,-6.7437178,107.2632461,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al Waini (Komplek BELKA Residence Cianjur),Masjid,"54HH+R58, Jl. Binawan Utama, Pamoyanan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212",,"4,8",84,,Tidak Ada ,Tidak Tersedia,-6.8204738,107.1279508,Aksesibilitas Tersedia,[]
Masjid Besar Baiturrahman,Masjid,"76P7+GMP, Sukagalih, Kec. Cikalongkulon, Kabupaten Cianjur, Jawa Barat 43291",Buka 24 jam,"4,7",382,,Tidak Ada ,Tidak Tersedia,-6.7136513,107.2142064,Aksesibilitas Tersedia,[]
Masjid Jami Al Mu'min,Masjid,"73W3+P84, Cibadak, Kec. Sukaresmi, Kabupaten Cianjur, Jawa Barat 43253",04.00 hingga 21.15,"4,8",33,,Tidak Ada ,Tidak Tersedia,-6.7032489,107.0533154,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Raihan,Masjid,"58H2+WH7, Jl. Raya Cipeuyeum, Kertasari, Kec. Haurwangi, Kabupaten Cianjur, Jawa Barat 43283",Buka 24 jam,"4,6",70,"
0821-2613-0003",Ada,Tidak Tersedia,-6.8202199,107.3014189,Aksesibilitas Tersedia,[]
Masjid Agung Nurussa'adah Pagelaran,Masjid,"Pagelaran, Kec. Pagelaran, Kabupaten Cianjur, Jawa Barat 43266",,"4,7",80,,Tidak Ada ,Tidak Tersedia,-7.2022559,107.1437822,Aksesibilitas Tersedia,[]
Masjid Asy syifaa,Masjid,"54RR+5GF, Komp. RSUD, Bojongherang, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43216",Buka 24 jam,"4,7",27,,Tidak Ada ,Tidak Tersedia,-6.8095716,107.1412967,Aksesibilitas Tersedia,[]
Masjid Besar At-Taqwa,Masjid,"Cijedil, Kec. Cugenang, Kabupaten Cianjur, Jawa Barat 43252",04.00 hingga 21.15,"4,6",77,,Tidak Ada ,Tidak Tersedia,-6.7998513,107.0843712,Aksesibilitas Tersedia,[]
Masjid Agung Cianjur,Masjid,"Jl. Siti Jenab No.21, Pamoyanan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211",03.30 hingga 20.00,"4,7",4.654,"
(0263) 263873",Ada,Tidak Tersedia,-6.8209399,107.139273,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Al Amanatul Badarudin wal Muchtar,Masjid,"Kp. BERENUK, Limbangansari, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211",Buka 24 jam,"4,8",33,,Tidak Ada ,Tidak Tersedia,-6.8212002,107.1220955,Aksesibilitas Tersedia,[]
Masjid Al Jabbar Cipeuyeum,Masjid,"Jl. Raya Cipeuyeum No.498, Cipeuyeum, Kec. Haurwangi, Kabupaten Cianjur, Jawa Barat 43282",Buka 24 jam,"4,5",51,,Tidak Ada ,Tidak Tersedia,-6.8105022,107.292855,Aksesibilitas Tersedia,[]
Masjid Besar Assalafiyyah,Masjid,"Jalan Hancet No. 4, Pacet, Cipendawa, Cianjur, Kabupaten Cianjur, Jawa Barat 43253",,"4,8",126,"
(0263) 516335",Ada,Tidak Tersedia,-6.7509915,107.048089,Aksesibilitas Tersedia,[]
Masjid Besar Nurul Iman,Masjid,"W2W3+F56, Pasawahan, Kec. Takokak, Kabupaten Cianjur, Jawa Barat 43265",Buka 24 jam,"4,5",11,,Tidak Ada ,Tidak Tersedia,-7.0538287,107.0028898,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Raya Al Azhar Cianjur,Masjid,"Jl. Dr. Muwardi No.182, Bojongherang, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43216",,"4,7",21,,Tidak Ada ,Tidak Tersedia,-6.8132342,107.1331605,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Al Aqso Cianjur,Masjid,"54JF+85H, Limbangansari, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211",,"4,8",19,"
0857-9722-2772",Ada,Tidak Tersedia,-6.8191835,107.1229779,Aksesibilitas Tersedia,[]
Masjid Jami Al Ma'mur,Masjid,"544G+FJ3, Rancagoong, Kec. Cilaku, Kabupaten Cianjur, Jawa Barat 43285",Buka 24 jam,"4,7",36,,Tidak Ada ,Tidak Tersedia,-6.8438532,107.1265473,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Darussalam,Masjid,"43J3+8JV, Pancuranluhur, Jl. Raya Sukabumi - Cianjur, Kebonpeuteuy, Kec. Gekbrong, Kabupaten Cianjur, Jawa Barat 43261",,"4,7",97,,Tidak Ada ,Tidak Tersedia,-6.8691428,107.0540586,Aksesibilitas Tersedia,[]
Masjid Jami al-Ikhlas,Masjid,"73J6+859, Cibodas, Kec. Pacet, Kabupaten Cianjur, Jawa Barat 43253",Buka 24 jam,"4,6",7,,Tidak Ada ,Tidak Tersedia,-6.7192214,107.0604796,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Barokah,Masjid,"544C+H42, Rancagoong, Kec. Cilaku, Kabupaten Cianjur, Jawa Barat",04.00 hingga 21.15,"4,9",27,,Tidak Ada ,Tidak Tersedia,-6.843612,107.1202759,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-istiqomah Dan Ponpes Al-istiqomah,Masjid,"Jl. Ciheulang, Langensari, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat 43281",Buka 24 jam,"4,5",51,,Tidak Ada ,Tidak Tersedia,-6.8366183,107.1890702,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
MASJID JAMI AN-NASHIR CIANJUR,Masjid,"55RJ+39Q, Hegarmanah, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat 43281",,"5,0",16,,Tidak Ada ,Tidak Tersedia,-6.8097842,107.1809876,Aksesibilitas Tersedia,[]
Masjid Jami WSP,Masjid,"54X6+3F7, Sukamanah, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat",Buka 24 jam,"4,7",19,,Tidak Ada ,Tidak Tersedia,-6.8022985,107.1112762,Aksesibilitas Tersedia,[]
Masjid Jami' Al-Bayaan Cianjur,Masjid,"Sirnagalih, Kec. Cilaku, Kabupaten Cianjur, Jawa Barat 43285",05.00 hingga 21.00,"4,8",102,"
0877-8991-9995",Ada,Tersedia,-6.8448774,107.1312759,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Abu Bakar Ash Shiddiq,Masjid,"jl.cianjur-bandung km No.6, Ciherang, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat 43281",,"4,8",944,,Tidak Ada ,Tidak Tersedia,-6.7973048,107.1950006,Aksesibilitas Tersedia,[]
Masjid Besar Asy-Syifa Karangtengah,Masjid,"Kusumah, Jl. Didi Prawirakusumah, Maleber, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat 43281",Buka 24 jam,"4,6",50,,Tidak Ada ,Tersedia,-6.8210615,107.1732772,Aksesibilitas Tersedia,[]
Masjid Jami Al-Mukarom,Masjid,"54MV+46W, Gg. Rambutan, Solokpandan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43214",Buka 24 jam,"4,7",12,,Tidak Ada ,Tidak Tersedia,-6.8171385,107.1430776,Aksesibilitas Tersedia,[]
"Masjid Jami As-Sanusiyyah Ciherang, Kec. Pacet, Kabupaten Cianjur, Jawa Barat 43253",Masjid,"63P3+Q5R, Ciherang, Kec. Pacet, Kabupaten Cianjur, Jawa Barat",04.00 hingga 21.15,"4,7",11,,Tidak Ada ,Tidak Tersedia,-6.7630229,107.0528757,Aksesibilitas Tersedia,[]
Masjid Agung Warungkondang Cianjur,Masjid,"43HW+F82, Jambudipa, Kec. Warungkondang, Kabupaten Cianjur, Jawa Barat",04.00 hingga 21.15,"4,5",183,,Tidak Ada ,Tidak Tersedia,-6.8713504,107.0957543,Aksesibilitas Tersedia,[]
Gereja Kristen Pasundan Pacet,Gereja,"Jl. Raya Cipanas No.7, Sindanglaya, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat 43253",,"4,8",9,"
(0263) 513049",Ada,Tidak Tersedia,-6.7458102,107.0476659,Aksesibilitas Tersedia,[]
HKBP CIANJUR Pagaran Resort HKBP Sukabumi,Gereja Lutheran,"Jl. Siliwangi No.41, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212",,"4,5",2,,Tidak Ada ,Tidak Tersedia,-6.8268412,107.1358979,Aksesibilitas Tersedia,[]
GEREJA OIKUMENE,Tempat Ibadah,"55X3+84H, Sukataris, Kec. Karangtengah, Kabupaten Cianjur, Jawa Barat",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.8016828,107.1528479,Aksesibilitas Tersedia,[]
GBI ROCK MINiSTRY CIANJUR,Gereja Kristen,"Jl. Ir. H. Juanda No.88, Limbangansari, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211",,"5,0",11,"
0812-8044-881",Ada,Tersedia,-6.8118203,107.1265497,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Goa Maria Lembah Karmel,Gereja Katolik,"7442+HP6, Unnamed Road, Cikanyere, Kec. Sukaresmi, Kabupaten Cianjur, Jawa Barat 43254",,"4,9",46,,Tidak Ada ,Tidak Tersedia,-6.7435842,107.1017662,Aksesibilitas Tersedia,[]
GII HOK IM TONG Cianjur,Gereja,"Jl. Ps. Baru No.73-74, Muka, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43215",08.00 hingga 17.00,"4,8",25,"
(0263) 280518",Ada,Tersedia,-6.8144097,107.1462739,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
GKP Palalangon,Gereja Kristen,"67FG+VRM, Jl. Palalangon, RT.03/RW.09, Kertajaya, Kec. Ciranjang, Kabupaten Cianjur, Jawa Barat 43282",Tutup,"4,7",47,"
0813-6404-108",Ada,Tidak Tersedia,-6.7764393,107.2759906,Aksesibilitas Tersedia,[]
Gereja GKAI,Gereja,"72QG+2C8, Unnamed Road, Palasari, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat 43253",,"4,9",11,,Tidak Ada ,Tidak Tersedia,-6.7124548,107.0260888,Aksesibilitas Tersedia,[]
GKI Cianjur,Gereja,"h o s, Jl. HOS Cokro Aminoto No.55, Muka, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43215",,"4,6",92,"
(0263) 262196",Ada,Tersedia,-6.8139176,107.1446582,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
"Gereja Katolik Paroki Santa Maria Para Malaikat, Cipanas",Gereja Katolik,"Jl. Raya Cimacan No.93, Cipanas, Cianjur, Kabupaten Cianjur, Jawa Barat 43253",,"4,7",125,"
(0263) 512317",Ada,Tersedia,-6.7354401,107.0417003,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Pniel,Gereja,"Jl. H. Agus Saleh No.23, Solokpandan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43214",,"4,6",21,,Tidak Ada ,Tidak Tersedia,-6.8219569,107.1440714,Aksesibilitas Tersedia,[]
GPdI Cianjur,Gereja Pantekosta,"Jl. K. H. Ashari No.75, Solokpandan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43214",Tutup,"4,7",46,"
(0263) 261161",Ada,Tersedia,-6.8194801,107.1430261,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja Santa Teresia Dari Lisieux,Gereja Katolik,"7443+44V, Cikanyere, Kec. Sukaresmi, Kabupaten Cianjur, Jawa Barat 43254",,"4,8",115,,Tidak Ada ,Tidak Tersedia,-6.7446331,107.1027977,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Gereja Katolik Santo Yusuf,Gereja Katolik,"72GM+WP2, Sindangjaya, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat 43253",,"4,6",37,,Tidak Ada ,Tidak Tersedia,-6.7227441,107.0342632,Aksesibilitas Tersedia,[]
GKP Cianjur,Gereja,"Jl. Mangunsarkoro No.111, Solokpandan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211",,"4,7",47,,Tidak Ada ,Tersedia,-6.8234238,107.1414806,Aksesibilitas Tersedia,[]
Gereja Yesus Sejati Cianjur ( GYS Cianjur ),Gereja,"h o s, Jl. HOS Cokro Aminoto No.64, Muka, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43215",,"5,0",22,"
(0263) 261471",Ada,Tersedia,-6.8147215,107.1442267,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja Kristus Cipanas,Gereja,"7362+88C, Gadog, Kec. Pacet, Kabupaten Cianjur, Jawa Barat 43253",,"4,7",17,,Tidak Ada ,Tersedia,-6.7391875,107.0507656,Aksesibilitas Tersedia,[]
Gereja NDCC Ministry,Gereja,"Jl. Moch. Ali No.58, Solokpandan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43214",,"5,0",15,"
0816-716-042",Ada,Tersedia,-6.8227913,107.1434649,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki St. Petrus, Cianjur",Gereja Katolik,"Jl. Siliwangi No.66, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212",08.00 hingga 18.00,"4,7",152,,Tidak Ada ,Tersedia,-6.8285754,107.1356695,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GBI Nehemia,Gereja,"Solokpandan, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43214",Tutup,"4,8",42,"
0852-8182-9559",Ada,Tersedia,-6.8229586,107.1433923,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki Santa Maria Para Malaikat, Cipanas",Gereja Katolik,"Jl. Raya Cimacan No.93, Cipanas, Cianjur, Kabupaten Cianjur, Jawa Barat 43253",,"4,7",125,"
(0263) 512317",Ada,Tersedia,-6.7354401,107.0417003,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
St. Theresia,Gereja Katolik,"7443+44V, Unnamed Road, Cikanyere, Kec. Sukaresmi, Kabupaten Cianjur, Jawa Barat 43254",09.00 hingga 16.45,"5,0",4,"
0858-8448-0607",Ada,Tidak Tersedia,-6.7446304,107.1027967,Aksesibilitas Tersedia,[]
Gereja Santa Teresia Dari Lisieux,Gereja Katolik,"7443+44V, Cikanyere, Kec. Sukaresmi, Kabupaten Cianjur, Jawa Barat 43254",,"4,8",115,,Tidak Ada ,Tidak Tersedia,-6.7446331,107.1027977,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Goa Maria Lembah Karmel,Gereja Katolik,"7442+HP6, Unnamed Road, Cikanyere, Kec. Sukaresmi, Kabupaten Cianjur, Jawa Barat 43254",,"4,9",46,,Tidak Ada ,Tidak Tersedia,-6.7435842,107.1017662,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki St. Petrus, Cianjur",Gereja Katolik,"Jl. Siliwangi No.66, Sawah Gede, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43212",08.00 hingga 18.00,"4,7",152,,Tidak Ada ,Tersedia,-6.8285754,107.1356695,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Gereja Katolik Santo Yusuf,Gereja Katolik,"72GM+WP2, Sindangjaya, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat 43253",,"4,6",37,,Tidak Ada ,Tidak Tersedia,-6.7227441,107.0342632,Aksesibilitas Tersedia,[]
Vihara Lotus,Vihara,"7353+RHM, Unnamed Road, Gadog, Pacet, Cianjur Regency, West Java 43253",,"5,0",12,"
0857-1085-1654",Ada,Tidak Tersedia,-6.740405,107.0539243,Aksesibilitas Tersedia,[]
Padepokan Pringgondani,Tempat Ibadah,"Kampung Pasekon No.81, RT.03/RW.14, Cipendawa, Pacet, Cianjur Regency, West Java 43253",08.00 hingga 21.00,"4,6",13,"
0812-1474-4844",Ada,Tidak Tersedia,-6.7459251,107.0389011,Aksesibilitas Tersedia,[]
MAHAVIRYA ARAMA,Vihara,"Jl. Raya Puncak - Cianjur No.55, Gadog, Kec. Megamendung, Kabupaten Bogor, Jawa Barat 16770",,"4,7",35,"
0815-8568-1955",Ada,Tidak Tersedia,-6.6547732,106.8602981,Aksesibilitas Tersedia,[]
Yapadi Land - Cetiya Permata Dihati Ke 7,Vihara,"Kampung Pasekon No.81, RT.03/RW.14, Cipendawa, Pacet, Cianjur Regency, West Java 43253",,"5,0",14,"
0822-1358-5844",Ada,Tidak Tersedia,-6.7459251,107.0389014,Aksesibilitas Tersedia,[]
Samatha Meditation Centre,Pusat Meditasi,"62RM+95P, Cipendawa, Kec. Pacet, Kabupaten Cianjur, Jawa Barat 43253",,"4,7",35,,Tidak Ada ,Tersedia,-6.7590413,107.0329437,Aksesibilitas Tersedia,[]
