nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,status_telepon,status_website,latitude,longitude,status_aksesibilitas,aksesibilitas
Masjid Al-Hasanah,Masjid,"JGM8+3CC, Parung, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",,"1,0",1,,Tidak Ada,Tidak Tersedia,-7.3676411,108.5158952,Tidak Tersedia,
Alun-Alun Kota Banjar,Taman Kota,"JGJR+5JC, Banjar, Kec. Purwaharja, Kota Banjar, Jawa Barat 46311",,"4,4",6.873,,Tidak Ada,Tidak Tersedia,-7.3695653,108.5415004,Tidak Tersedia,
Masjid Miftahul Khoir Cipantaran (Miftahul Khoir Mosque),Tempat Ibadah,"Cibeureum, Kec. Banjar, Kota Banjar, Jawa Barat 46313",Buka 24 jam,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3702839,108.490815,Tidak Tersedia,
Masjid Qatar - Komplek Putra Pondok Pesantren Al Kautsar Banjar,Masjid,"Jl. Pejuang No.25, Jajawar, Kec. Banjar, Kota Banjar, Jawa Barat 46312",Buka 24 jam,"5,0",4,,Tidak Ada,Tidak Tersedia,-7.359967,108.4995922,Tidak Tersedia,
Masjid Al - Ikhwan,Masjid,"JGFR+273, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",04.00 hingga 20.00,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.377437,108.5407064,Tidak Tersedia,
Masjid Jami Al Istiqomah,Masjid,"JGR4+C6Q, Jl. Karang Tengah, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",,,,,Tidak Ada,Tidak Tersedia,-7.359193,108.505668,Tidak Tersedia,
Masjid Al-Lathif,Masjid,"JGHP+MXW, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"4,5",48,,Tidak Ada,Tidak Tersedia,-7.3707705,108.5374477,Tidak Tersedia,
Masjid Baiturrahma,Masjid,"Jl. Sudiro W No.71, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",04.30 hingga 20.30,,,"
0813-7585-6669",Ada,Tidak Tersedia,-7.371925,108.537974,Tidak Tersedia,
MASJID BAITUSSALAM,Masjid,"JG7W+3HF, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"4,8",4,,Tidak Ada,Tidak Tersedia,-7.3873078,108.5464085,Tidak Tersedia,
GKI Kota Banjar,Gereja Kristen,"Jl. Kantor Pos No.56, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",09.00 hingga 17.00,"4,4",29,"
(0265) 741565",Ada,Tidak Tersedia,-7.3733139,108.5426655,Tidak Tersedia,
Gereja Bethel Indonesia Banjar,Gereja,"JGGV+67H, Jl. Kantor Pos No.84, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"4,9",18,"
0851-7972-9824",Ada,Tersedia,-7.3748813,108.541602,Aksesibilitas Tersedia,Memiliki pintu masuk khusus pengguna kursi roda | Memiliki tempat parkir khusus pengguna kursi roda
"Gereja Katolik Santo Filipus, Banjar",Gereja Katolik,"Jl. Kantor Pos No.261, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"4,3",7,,Tidak Ada,Tidak Tersedia,-7.375391,108.5414605,Tidak Tersedia,
Majelis Tinggi Agama Khonghucu Indonesia - Banjar,Lembaga Agama,"JL Gudang No.1, Hegarsari, Bandung, Kota Banjar, Jawa Barat 40113",,"4,5",2,"
(0265) 745374",Ada,Tidak Tersedia,-7.3720801,108.5435245,Tidak Tersedia,
Vihara Vajra Bumi Giri Putra,Vihara,"Jalan Depok, RT.04/RW.04, Segaralangu, Cipari, Cilacap Regency, Central Java 53262",09.00 hingga 17.00,"4,8",23,"
0818-0888-1871",Ada,Tersedia,-7.4353662,108.79647,Tidak Tersedia,
MAJELIS DZIKIR SURYAMANGGALA,Pusat Spiritis,"JGFX+7MW, Pataruman, Kec. Pataruman, Kota Banjar, Jawa Barat 46323",Buka 24 jam,,,"
0823-1709-8711",Ada,Tidak Tersedia,-7.3767455,108.5492045,Tidak Tersedia,
Sekretariat DPC Klan Cobbuwa Kota Banjar,Pusat Meditasi,"JGCH+CHQ, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"5,0",24,"
0812-5413-3960",Ada,Tersedia,-7.3789007,108.5288378,Aksesibilitas Tersedia,Memiliki kursi khusus pengguna kursi roda | Ada toilet khusus pengguna kursi roda
Kelenteng Hok Tek Bio,Kuil Penganut Agama Tao,"M9F3+XP2, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211",07.00 hingga 20.00,"4,5",51,"
0813-2101-8949",Ada,Tidak Tersedia,-7.3251201,108.3542766,Aksesibilitas Tersedia,Tidak memiliki tempat parkir khusus pengguna kursi roda
Pura Dadia Pasek Gelgel Depeha Desa Selat,Tempat Ibadah,"JGHM+PPF, Banjarbaru, Kota Banjar Baru, Kalimantan Selatan, IndonesiaDinas Selat, Desa Selat, Kec. Sukasada, Kab. Buleleng, Bali",Buka 24 jam,,,"
0878-3904-8314",Ada,Tidak Tersedia,-7.3706929,108.5342863,Tidak Tersedia,
PURA BUKIT DESA ADAT SEKARMUKTI,Pura,"JGHM+PMX, Banjar sekarmukti, Banjar",,,,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
Gapura Selamat Datang Kota Banjar,Taman,"Jl. Nasional III No.22, Purwaharja, Kec. Purwaharja, Kota Banjar, Jawa Barat 46331",,"4,7",167,,Tidak Ada,Tidak Tersedia,-7.3555429,108.5303917,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Situs singaperbangsa,Bangunan Bersejarah,"JGQX+5PF, Karangpanimbal, Kec. Purwaharja, Kota Banjar, Jawa Barat",Buka 24 jam,"4,7",3,,Tidak Ada,Tidak Tersedia,-7.3620622,108.5492848,Tidak Tersedia,
Stasiun Banjar,Jasa Kereta Api,"JGFR+FWM, Jl. Letjen Suwarto, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46321",Buka 24 jam,"4,5",6.562,"
(0265) 741062",Ada,Tersedia,-7.3762792,108.5422906,Aksesibilitas Tersedia,Memiliki pintu masuk khusus pengguna kursi roda | Memiliki tempat parkir khusus pengguna kursi roda
Dadia Prawangsa Ketewel,Pura,"JGHM+PPF Ketewel Kel penarukan, Jalan setia Budi, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,,,,Tidak Ada,Tidak Tersedia,-7.3706929,108.5342863,Tidak Tersedia,
Alun-Alun Kota Banjar,Taman Kota,"JGJR+5JC, Banjar, Kec. Purwaharja, Kota Banjar, Jawa Barat 46311",,"4,4",6.873,,Tidak Ada,Tidak Tersedia,-7.3695653,108.5415004,Tidak Tersedia,
Gapura pasir,Pura,"MH59+MMV, Mekarharja, Kec. Purwaharja, Kota Banjar, Jawa Barat 46333",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3407669,108.5691642,Tidak Tersedia,
Situ Mustika Banjar Patroman,Taman,"JGQV+585, Karangpanimbal, Kec. Purwaharja, Kota Banjar, Jawa Barat 46332",,"4,6",24,,Tidak Ada,Tidak Tersedia,-7.3621194,108.5433595,Tidak Tersedia,
Wana Wisata Situ Mustika,Tujuan Wisata,"JGQW+394, Karangpanimbal, Kec. Purwaharja, Kota Banjar, Jawa Barat 46332",08.00 hingga 17.00,"4,1",1.029,,Tidak Ada,Tidak Tersedia,-7.3623658,108.5459425,Aksesibilitas Tersedia,Ada toilet khusus pengguna kursi roda | Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Pura Dalem Bunut,Pura,"Banjar Adat Tangguntiing, Desa Adat Panca Bhuana Sakti, Kutampi, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
Pura Dadia Pasek Kayu Selem,Pura,"Banjar Dinas Kebon Kelod, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
Pura Ketut,Pura,"Banjar dinas Longsegeha, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
Pura Arya Kebun Tubuh,Pura,"Banjar Adat Tangguntiing, Desa Adat Panca Bhuana Sakti, kutampi, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
PURA DESA PENGAYAH JALANBAU,Pura,"Banjar Dinas Jalanbau, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
pura dalem lan prajapati banjar adat gunung salak,Pura,"banjar dinas gunung salak, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
Pura kilitan,Pura,"Banjar dinas batungadeg, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
Dadia Dukuh Ambengan Sakti,Pura,"JGHM+PMX Panti. Desa Bantang, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat",,,,,Tidak Ada,Tidak Tersedia,-7.3706417,108.5342405,Tidak Tersedia,
