nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid An Nawawi,Tempat Ibadah,"Jl. Bojonghuni No.218, RT.02/RW.13, Maleber, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46214",Buka 24 jam,"4,8",19,,Tidak Ada ,Tidak Tersedia,-7.3175667,108.3382608,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Subulussalam Desa Cimari,Masjid,"M7PP+PR2, Jalan Raya, Cimari, Cikoneng, Ciamis Regency, West Java 46261",Buka 24 jam,"4,7",203,"
0813-2027-7112",Ada,Tidak Tersedia,-7.3132257,108.2870205,Aksesibilitas Tersedia,[]
Masjid Al-Gani,Masjid,"Jl. Jend. Sudirman No.346, Imbanagara, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46215",Buka 24 jam,"4,8",647,"
0857-9783-1600",Ada,Tidak Tersedia,-7.3192127,108.3154378,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Annur Gandasari,Masjid,"P62J+XH5, Gunungcupu, Sindangkasih, Gunungcupu, Ciamis, Kabupaten Ciamis, Jawa Barat 46268",,"4,6",33,,Tidak Ada ,Tidak Tersedia,-7.2976133,108.2314762,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Citengah,Masjid,"V7WC+F97, Hujungtiwu, Kec. Panjalu, Kabupaten Ciamis, Jawa Barat 46264",,"4,5",60,,Tidak Ada ,Tidak Tersedia,-7.1038451,108.2709083,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Besar Panjalu,Masjid,"V789+3GX, Panjalu, Kec. Panjalu, Kabupaten Ciamis, Jawa Barat 46264",03.30 hingga 21.30,"4,7",81,,Tidak Ada ,Tidak Tersedia,-7.1347591,108.2688629,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Nurul Iman,Masjid,"M8J5+X5C, Jl. Nasional III, Imbanagara, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46219",,"4,6",99,,Tidak Ada ,Tidak Tersedia,-7.3175669,108.3078818,Aksesibilitas Tersedia,[]
Masjid Al Hanafiyah Puncak Asih Cisadap Ciamis Jawa Barat,Masjid,"Cisadap, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46215",,"4,6",17,,Tidak Ada ,Tidak Tersedia,-7.3068008,108.3153712,Aksesibilitas Tersedia,[]
Masjid Nusantara,Organisasi Nonprofit,"Jl. Parakan Asri No.11, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",08.00 hingga 17.00,"4,8",78,"
0853-6006-6665",Ada,Tersedia,-6.9505318,107.6300741,Aksesibilitas Tersedia,[]
Masjid Jariyatul Muslimin,Masjid,"P64H+2GV, Gunungcupu, Kec. Sindangkasih, Kabupaten Ciamis, Jawa Barat 46268",,"4,7",29,,Tidak Ada ,Tidak Tersedia,-7.2948764,108.2287917,Aksesibilitas Tersedia,[]
