nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
"Gereja Katolik Paroki Hati Maria Tak Bernoda, Cicurug",Gereja Katolik,"Jl. Siliwangi No.35, Cicurug, Kec. Cicurug, Kabupaten Sukabumi, Jawa Barat 43359",,"4,7",74,"
(0266) 731014",Ada,Tersedia,-6.7899559,106.7789843,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Wisma Assisi,Panti Lansia,"Jl. Veteran II No.10, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",06.00 hingga 20.00,"4,8",30,,Ada,Tidak Tersedia,-6.9180521,106.9273504,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Proyek Hotel Oikoumene,Hotel,"Jl. Bhayangkara No.232, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",,"4,6",10,,Tidak Ada ,Tidak Tersedia,-6.9143732,106.9316068,Aksesibilitas Tersedia,[]
GSJA Charismata Sukabumi,Gereja,"Jl. Sudirman No.81, Benteng, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43132",Tutup,"4,9",78,,Tidak Ada ,Tersedia,-6.9196182,106.9174811,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
"Gereja Kristen Pasundan Jemaat ""Pangharepan"" Cikembar",Gereja Kristen,"Jl. Pelabuhan II No.Km.18, Cikembar, Kec. Cikembar, Kabupaten Sukabumi, Jawa Barat 43157",,"4,2",18,,Ada,Tersedia,-6.9630363,106.7978315,Aksesibilitas Tersedia,[]
GRIYA ANGELA,Pusat Retret,"Jl. Kenari No.1A, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",Buka 24 jam,"4,9",16,,Ada,Tersedia,-6.9154723,106.9303761,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
GBKP Runggun Sukabumi,Gereja,"Jl. Bhayangkara No.232, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9144645,106.9321126,Aksesibilitas Tersedia,[]
Gereja Gerakan Pentakosta Getsemani,Gereja Pantekosta,"Jl. Pelabuhan II No.144, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",,"5,0",6,"
(0266) 223315",Ada,Tersedia,-6.9304324,106.9257455,Aksesibilitas Tersedia,[]
Kapel Katolik Albertus Soegiyo Pranoto,Gereja,"SETUKPA LEMDIKLAT POLRI, Sriwidari, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat",,,,,Tidak Ada ,Tidak Tersedia,-6.9136817,106.92314,Aksesibilitas Tersedia,[]
Panti Kasih GKI Sukabumi,Rumah Pondokan,"Jl. Nasional III, Gunungpuyuh, Kec. Gunungpuyuh, Kota Sukabumi, Jawa Barat 43121",,"4,9",30,"
0877-4834-4599",Ada,Tidak Tersedia,-6.9180371,106.9126921,Aksesibilitas Tersedia,[]
