nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Besar Kaum Al Husen Limbangan,Masjid,"Jl. Nasional III No.201, Limbangan Timur, Kec. Balubur Limbangan, Kabupaten Garut, Jawa Barat 44186",Buka 24 jam,"4,6",1.148,,Tidak Ada ,Tidak Tersedia,-7.0348055,107.9834557,Aksesibilitas Tersedia,[]
Masjid Jami At-Taufiq,Masjid,"Jl. Gumuruh No.88, Gumuruh, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",,"4,8",134,,Tidak Ada ,Tidak Tersedia,-6.9346327,107.6379818,Aksesibilitas Tersedia,[]
Masjid Jami Al-Ikhlash,Masjid,"Jl. Maleer V No.174, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",,"4,8",150,,Tidak Ada ,Tidak Tersedia,-6.9293421,107.6402181,Aksesibilitas Tersedia,[]
Masjid Nurul Iman,Masjid,"3J8W+HCH, Jl. Papanggungan, Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40285",,"4,6",34,,Tidak Ada ,Tidak Tersedia,-6.933566,107.6461035,Aksesibilitas Tersedia,[]
Masjid Al-Bahar,Masjid,"Jl. Maleer V No.330/118, RT.004/RW.001, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",Buka 24 jam,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.9291715,107.6404569,Aksesibilitas Tersedia,[]
Masjid AL INAYAH,Masjid,"Jl. Kiara Condong No.281, Kebun Jayanti, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40284",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.9294302,107.6441782,Aksesibilitas Tersedia,[]
Masjid Al-Quranu Imami,Masjid,"3JCR+379, Jl. Gatot Subroto Jl. Maleer V, RT.06/RW.01, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",03.00 hingga 23.00,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9298333,107.6407341,Aksesibilitas Tersedia,[]
Masjid Al-fatwa,Masjid,"3J9V+RC7, Kb. Gedang, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.9304554,107.6435461,Aksesibilitas Tersedia,[]
Masjid Jamiatul Islamiyah,Masjid,"BAGAR, Jl. Babakan Garut, RT.05/RW.10, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",Buka 24 jam,"4,7",16,,Tidak Ada ,Tidak Tersedia,-6.9219459,107.632365,Aksesibilitas Tersedia,[]
Mesjid Besar Kersamanah - Garut,Masjid,"Jl. Nasional III No.317, Kersamanah, Kec. Kersamanah, Kabupaten Garut, Jawa Barat 44185",Buka 24 jam,"4,9",18,,Tidak Ada ,Tidak Tersedia,-7.0528776,108.0360331,Aksesibilitas Tersedia,[]
Masjid jami Al-Amaanah,Masjid,"Jl. Gatot Subroto No.423A, Maleer, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9311463,107.6424498,Aksesibilitas Tersedia,[]
Masjid Baitul Muhsinin,Masjid,"3J9R+8FJ, Gg. Binong Kulon IV, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",Buka 24 jam,"4,9",8,"
0813-9469-4310",Ada,Tidak Tersedia,-6.9316712,107.6411314,Aksesibilitas Tersedia,[]
Masjid Asy Syifa,Masjid,"Jl. Warung Jambu No.05/06, Kb. Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40284",,"4,6",19,,Tidak Ada ,Tidak Tersedia,-6.9306042,107.6449978,Aksesibilitas Tersedia,[]
Masjid Jami Al Hidayah Binong Kidul RW 03,Masjid,"3J8V+VCM, Binong, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40284",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9327988,107.6435589,Aksesibilitas Tersedia,[]
Masjid Agung Kab Garut,Masjid,"QWM2+GC2, Jl. Jendral Ahmad Yani - Jl. Veteran, Paminggir, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44118",Buka 24 jam,"4,7",7.665,,Tidak Ada ,Tidak Tersedia,-7.2162421,107.9010101,Aksesibilitas Tersedia,"['Ada toilet khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
MESJID JAMI BAITURROHIM RW07,Masjid,"Jl. Binong Jati No.Rt02 Rw 07, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9316832,107.6403486,Aksesibilitas Tersedia,[]
Masjid Jami Al-Muslimun,Masjid,"Jl. Kebon Jayanti, Kebun Jayanti, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281",Buka 24 jam,"4,7",51,"
0882-9623-7631",Ada,Tidak Tersedia,-6.9269228,107.6455822,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al Jihad,Masjid,"Jl. Garut No.1A, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271",,"4,6",40,,Tidak Ada ,Tidak Tersedia,-6.9171962,107.631451,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid AL-HIKMAH,Masjid,"3JCV+H9M, Gg. Cipicung II, Kb. Gedang, Kec. Batununggal, Kota Bandung, Jawa Barat 40274",,"4,4",33,,Tidak Ada ,Tidak Tersedia,-6.9285313,107.6434257,Aksesibilitas Tersedia,[]
Masjid At-Taubat,Masjid,"3J8V+MQ6, Kb. Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat",04.00 hingga 21.15,"4,7",16,,Tidak Ada ,Tidak Tersedia,-6.9333437,107.644388,Aksesibilitas Tersedia,[]
GBI Sukawarna Cabang Piset,Gereja Pantekosta,"Jl. Pelajar Pejuang 45 No.119, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264",,"4,8",45,,Tidak Ada ,Tersedia,-6.934543,107.6255293,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki Bunda Maria, Garut",Gereja Katolik,"Jl. Bank No.50, Pakuwon, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44117",Tutup,"4,7",158,"
0812-8588-7782",Ada,Tersedia,-7.2140694,107.9037341,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GKI Guntur,Gereja Protestan,"Jl. Guntur No.13, Burangrang, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",,"4,9",80,"
(022) 7306232",Ada,Tidak Tersedia,-6.9246073,107.6218135,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
