nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Tiket masuk pangandaran,Loket Tol,"8J87+M7X, Jl. Pamugaran, Cikembulan, Kec. Sidamulih, Kab. Pangandaran, Jawa Barat 46365",,"4,3",7,,Tidak Ada ,Tidak Tersedia,-7.6835238,108.6133759,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Batu Lumpang Pangandaran,Tujuan Wisata,"Dukuh satu, Parakanmanggu, Kec. Parigi, Kab. Pangandaran, Jawa Barat 46393",,"4,6",355,,Ada,Tersedia,-7.6556755,108.4503675,Aksesibilitas Tersedia,"['Dilengkapi dengan sistem bantu dengar', 'Memiliki kursi khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', 'Tidak memiliki pintu masuk khusus pengguna kursi roda']"
RAJA TOUR PANGANDARAN,Kantor Perusahaan,"Jl. Raya, Babakan, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396",09.00 hingga 17.00,"5,0",1.163,,Ada,Tersedia,-7.6770027,108.6724316,Aksesibilitas Tersedia,[]
Santirah River Tubing,Operator Wisata Rafting,"Selasari, Kec. Parigi, Kab. Pangandaran, Jawa Barat 46393",,"4,6",723,,Ada,Tersedia,-7.6248796,108.5374296,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda']"
Pantai Madasari,Tujuan Wisata,,Buka 24 jam,"4,7",7.943,,Ada,Tersedia,-7.792483,108.4963851,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Jembatan Merah Pangandaran,Jembatan,"8M8C+24H, Babakan, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396",,"4,8",248,,Tidak Ada ,Tidak Tersedia,-7.6849359,108.6703564,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Taman Wisata Alam Pangandaran,Taman Nasional,"Pangandaran, Kec. Pangandaran, Kabupaten Ciamis, Jawa Barat 46396",08.00 hingga 16.30,"4,5",31,"
0812-2320-1541",Ada,Tidak Tersedia,-7.7055086,108.6585503,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Desa Wisata Selasari,Tujuan Wisata,"9GJC+75R, Selasari, Kec. Parigi, Kab. Pangandaran, Jawa Barat 46393",07.30 hingga 16.00,"4,6",54,"
0852-2177-3412",Ada,Tidak Tersedia,-7.6192638,108.5203866,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Pemakaman cigorowek,Pura,"F8MX+52, Pangkalan, Kec. Langkaplancar, Kab. Pangandaran, Jawa Barat",,"1,0",1,,Tidak Ada ,Tidak Tersedia,-7.5170471,108.3476082,Aksesibilitas Tersedia,[]
Travel Bandung - Pangandaran Ozan Travel,Biro Perjalanan dan Wisata,"Perumahan Aria graha, Jl.Raya, Jl. Parakan Saat Jl. Soekarno-Hatta, Cipamokolan, Kec. Rancasari, Kota Bandung, Jawa Barat 40624",Buka 24 jam,"4,9",81,,Ada,Tersedia,-6.9391321,107.6727555,Aksesibilitas Tersedia,[]
Batu Layar,Tujuan Wisata,"7MPF+5PJ, Pangandaran, Kec. Pangandaran, Kabupaten Ciamis, Jawa Barat",,"4,7",21,,Tidak Ada ,Tidak Tersedia,-7.7145375,108.6742656,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Green Canyon,Tujuan Wisata,"Jl. Raya Cijulang, RT.02/RW.10, Dusun. Karangpaci, Kertayasa, Kec. Cijulang, Kab. Pangandaran, Jawa Barat 46394",,"4,6",8.630,,Ada,Tersedia,-7.7350372,108.456452,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda', 'Tidak memiliki kursi khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Disparbud Kabupaten Pangandaran,Dinas Pariwisata Kota,"Jl. Kidang Pananjung No.3, Pangandaran, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396",07.30 hingga 16.00,"3,7",16,,Ada,Tersedia,-7.6865353,108.6549911,Aksesibilitas Tersedia,[]
Pantai Batu Hiu Pangandaran,Tujuan Wisata,"Jl. Raya Parigi, Ciliang, Kec. Parigi, Kabupaten Ciamis, Jawa Barat 46393",Buka 24 jam,"4,5",2.476,"
0858-8189-2576",Ada,Tidak Tersedia,-7.6914814,108.537659,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
