nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Raya Al Ihsan Darul Hikam,Masjid,"Jl. Ir. H. Juanda No.283, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat",Buka 24 jam,"4,8",739.0,,Tidak Ada,Tersedia,-6.8791778,107.6162265,Tidak Tersedia,0
Masjid Assalam,Masjid,"Jl. Asep Berlian Gg. Bunga X No.93, RT.03/RW.15, Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat",,"4,3",3.0,,Tidak Ada,Tidak Tersedia,-6.9055719,107.6376997,Tidak Tersedia,0
Masjid PUSDAI Jawa Barat,Masjid,"Jl. Diponegoro No.63, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat",03.30 hingga 20.00,"4,7",14.472,,Ada,Tersedia,-6.9001204,107.6259654,Aksebilitas Lengkap,3
Masjid Raya Mujahidin Bandung,Masjid,"Jl. Sancang No.6, Burangrang, Kec. Lengkong, Kota Bandung, Jawa Barat",04.30 hingga 21.00,"4,7",1.779,,Ada,Tersedia,-6.93059,107.6193673,Aksebilitas Cukup,1
Masjid Baiturrahman,Masjid,"Apartemen Gateway, Jl. A. Yani Lantai LG-1, Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat",,"5,0",3.0,,Tidak Ada,Tidak Tersedia,-6.9067649,107.6448191,Tidak Tersedia,0
Masjid Al Huda,Masjid,"Jl. Cikutra No.02/02, Sukapada, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat",,"3,3",3.0,,Tidak Ada,Tidak Tersedia,-6.8986907,107.643699,Tidak Tersedia,0
Masjid JAMI'ATUL QURO,Masjid,"Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat",,"5,0",6.0,,Tidak Ada,Tidak Tersedia,-6.9181411,107.6218577,Tidak Tersedia,0
Masjid As-Siraaj,Masjid,"Jl. Kacapiring No.33, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat",,"4,6",44.0,,Tidak Ada,Tidak Tersedia,-6.9185567,107.6293971,Tidak Tersedia,0
Masjid Luqman SMA Negeri 10 Bandung,Masjid,"Jl. Sekepanjang III, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat",,"4,5",8.0,,Tidak Ada,Tidak Tersedia,-6.90221,107.641915,Tidak Tersedia,0
Masjid Jami Al-Jabbar Jatihandap,Masjid,"Gg. H Idris, RT.02/RW.07, Bandung, Jatihandap, Kec. Mandalajati, Kota Bandung, Jawa Barat",Buka 24 jam,"4,4",31.0,,Tidak Ada,Tidak Tersedia,-6.8958116,107.6602107,Tidak Tersedia,0
Masjid Al-Imtizaj,Masjid,"Jl. ABC No.8, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat",11.40 hingga 19.40,"4,7",1.129,,Tidak Ada,Tidak Tersedia,-6.919425,107.6078639,Tidak Tersedia,0
Masjid Mungsolkanas,Masjid,"Jl. Cihampelas, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat",Buka 24 jam,"4,7",372.0,,Tidak Ada,Tidak Tersedia,-6.8917507,107.6047965,Tidak Tersedia,0
Masjid Jami Al-Hikmah,Masjid,"Jl. Sumbawa No.1a, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat",,"4,7",3.0,,Tidak Ada,Tidak Tersedia,-6.9137817,107.6178709,Tidak Tersedia,0
Masjid Al- Muttaqin,Masjid,"Jl. Khp Hasan Mustopa, Neglasari, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat",,"5,0",1.0,,Tidak Ada,Tidak Tersedia,-6.8983565,107.6396887,Tidak Tersedia,0
