nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Darussalam,Masjid,"Jl. Kiara Asri Raya, Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40285",Buka 24 jam,"4,6",113,"
0813-1502-9929",Ada,Tidak Tersedia,-6.9287796,107.6546759,Aksesibilitas Tersedia,[]
MASJID JAMI AL-IRFAN,Masjid,"Kp, Jl. Cijerah Wetan No.Kel, Karang Anyar, Kec. Kawalu, Kota Tasikmalaya, 46182",Buka 24 jam,,,,Tidak Ada ,Tidak Tersedia,-6.9208359,107.5667983,Aksesibilitas Tersedia,[]
Masjid Babul Hasanah,Masjid,"Jl. Tasikmalaya No.3, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271",,,,,Tidak Ada ,Tidak Tersedia,-6.9158108,107.6323138,Aksesibilitas Tersedia,[]
Masjid Besar Singaparna Kota,Masjid,"M425+3W6, alun alun, Kec. Singaparna, Kabupaten Tasikmalaya, Jawa Barat 46411","04.30 hingga 05.00,11.00 hingga 13.00,15.00 hingga 15.30,18.00 hingga 18.30,19.00 hingga 19.30","4,5",82,,Tidak Ada ,Tidak Tersedia,-7.3498459,108.1097626,Aksesibilitas Tersedia,[]
Masjid Agung Manonjaya,Masjid,"J8X4+FVG, Jl. RTA. Prawira Adiningrat, Manonjaya, Kec. Manonjaya, Kab. Tasikmalaya, Jawa Barat 46197",,"4,7",1.773,,Tidak Ada ,Tidak Tersedia,-7.3513169,108.3072051,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Mesjid Agung Rajapolah,Masjid,"Q5JR+22Q, Manggungjaya, Kec. Rajapolah, Kabupaten Tasikmalaya, Jawa Barat 46155",Buka 24 jam,"4,7",672,,Tidak Ada ,Tidak Tersedia,-7.2199075,108.1901096,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Mesjid Agung Singaparna Gebu,Masjid,"J4R6+MXV, Sukamulya, Kec. Singaparna, Kabupaten Tasikmalaya, Jawa Barat 46416",,"4,7",248,,Tidak Ada ,Tidak Tersedia,-7.3582586,108.112415,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Besar Muhajirin,Masjid,"M68H+R3J, Jl. Saptamarga No.03, Cikalang, Kec. Tawang, Kab. Tasikmalaya, Jawa Barat 46114",Buka 24 jam,"4,8",449,,Ada,Tidak Tersedia,-7.3328318,108.2273678,Aksesibilitas Tersedia,[]
Masjid Salman ITB,Masjid,"Jl. Ganesa No.7, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",Buka 24 jam,"4,9",17.379,,Ada,Tersedia,-6.8937059,107.6111822,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Al Ikhlas Markaz Dakwah Tasik,Masjid,"J6P2+CXM, Sambongjaya, Kec. Mangkubumi, Kab. Tasikmalaya, Jawa Barat 46181",Buka 24 jam,"4,9",78,,Tidak Ada ,Tidak Tersedia,-7.3639125,108.2024219,Aksesibilitas Tersedia,[]
