nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
GKIm Hosanna Ciumbuleuit,Gereja Kristen,"Galeri Ciumbuleuit Apartment 1, Jl. Ciumbuleuit, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141",09.30 hingga 13.00,"4,8",19,"
0821-2135-5788",Ada,Tidak Tersedia,-6.8813869,107.6046809,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki Santa Maria Fatima, Lembang",Gereja Katolik,"Jl. Karmel, Jayagiri, Lembang, West Bandung Regency, West Java 40391",07.00 hingga 19.00,"4,8",541,"
(022) 2787331",Ada,Tersedia,-6.8128003,107.6146483,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
GBIS Kristus Pembela,Gereja Injil Sepenuh,"Jl. Muara Barat No.2, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40234",Tutup,"5,0",31,"
0811-2331-945",Ada,Tidak Tersedia,-6.9392999,107.5992571,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
"Gereja Katolik St. Yusuf Pekerja, Majalaya",Gereja Katolik,"Jl. Raya Laswi No.95, Padamulya, Kec. Majalaya, Kabupaten Bandung, Jawa Barat 40392",,"4,7",13,"
0812-2352-538",Ada,Tersedia,-7.0496427,107.7485958,Aksesibilitas Tersedia,[]
GBKP Bandung Barat,Gereja,"Jl. Holis No.278 B, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",Tutup,"4,5",52,"
(022) 6045586",Ada,Tersedia,-6.9310621,107.5721195,Aksesibilitas Tersedia,[]
Gereja Bethel Indonesia Kota Baru Parahyangan,Gereja Kristen,"Jl. Wangsaniaga Wetan No.28, Kertajaya, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",,"4,9",14,,Tidak Ada ,Tidak Tersedia,-6.8594888,107.4829247,Aksesibilitas Tersedia,[]
"Gereja Katolik Paroki Santo Fransiskus Xaverius, Dayeuhkolot",Gereja Katolik,"Jl. Raya Bojongsoang No.17, Bojongsoang, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40257",,"4,7",208,"
(022) 42821012",Ada,Tersedia,-6.9841599,107.629783,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Biara Ursulin,Biara,"3JQM+94H, Jl. Supratman I, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",,"4,7",62,"
(022) 7107208",Ada,Tidak Tersedia,-6.9115732,107.6328457,Aksesibilitas Tersedia,[]
Gereja Katolik Paroki Hati Tak Bernoda Santa Perawan Maria,Gereja Katolik,"Jl. Suryalaya No.3, Cijagra, Kec. Lengkong, Kota Bandung, Jawa Barat 40265",06.00 hingga 22.00,"4,8",693,"
(022) 7303922",Ada,Tersedia,-6.940817,107.625909,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
International Full Gospel Fellowship (IFGF) Bandung,Gereja,"blok J IFGF Bandung at THE HOUSE, Jl. Pasir Kaliki No.25 - 27, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40172",,"4,8",149,"
0877-2211-1767",Ada,Tersedia,-6.9146512,107.5932124,Aksesibilitas Tersedia,['Memiliki tempat parkir khusus pengguna kursi roda']
GPIB Efata Batujajar,Gereja,"3FPW+9X8, Jalan Raya, Galanggang, Batujajar, West Bandung Regency, West Java 40561",,"4,5",43,"
(022) 6868613",Ada,Tidak Tersedia,-6.9140924,107.4974443,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
"Gereja Katolik Paroki Bunda Tujuh Kedukaan, Pandu",Gereja Katolik,"Jl. Pandu No.4, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",06.00 hingga 21.00,"4,8",1.806,"
(022) 6011138",Ada,Tersedia,-6.9055223,107.5934154,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
"Kapel Katolik Hati Kudus Yesus, Lebak Gede",Gereja Katolik,"Jl. Surya Kencana No.3, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",05.30 hingga 06.00,"4,8",217,,Tidak Ada ,Tidak Tersedia,-6.894155,107.614249,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Pastoran St.Martinus Bandung,Rumah Pendeta Protestan,"Perumahan Kopo Permai 1, Blk. H No.4, Sukamenak, Margahayu, Bandung Regency, West Java 40227",07.30 hingga 12.00,"4,8",75,"
(022) 5404263",Ada,Tersedia,-6.9645848,107.5834733,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
